station_name,free_bikes,empty_slots,latitude,longitude,timestamp
Deutsche Bundesbank,3,37,50.13616180419922,8.659581184387207,2026-01-07 22:08:11.686104
S-Bahn Station Galluswarte / Mainzer Landstraße,0,40,50.10348129272461,8.64473819732666,2026-01-07 22:08:11.686111
Kantstraße / Berger Straße,0,40,50.120548248291016,8.695967674255371,2026-01-07 22:08:11.686113
Mörfelder Landstraße / Riedhofweg,8,32,50.09166717529297,8.67452335357666,2026-01-07 22:08:11.686118
Taunusstraße / Gallusanlage,11,29,50.11044692993164,8.670585632324219,2026-01-07 22:08:11.686118
Bahnhof Rödelheim,2,38,50.124778747558594,8.607489585876465,2026-01-07 22:08:11.686119
Hermann-Eggert-Straße / ICE-Werk,11,29,50.09389114379883,8.63155746459961,2026-01-07 22:08:11.686119
Stralsunder Straße 34,1,39,50.130836486816406,8.669713020324707,2026-01-07 22:08:11.686120
Bahnhof Niederrad,0,40,50.08076095581055,8.637449264526367,2026-01-07 22:08:11.686121
Sandweg / Pfingstweidstraße,0,40,50.1160888671875,8.695579528808594,2026-01-07 22:08:11.686122
Griesheimer Stadtweg / Schöffenstraße,1,39,50.091331481933594,8.615250587463379,2026-01-07 22:08:11.686122
Nibelungenplatz / Nibelungen Allee,1,39,50.128929138183594,8.692561149597168,2026-01-07 22:08:11.686123
Anhalter Straße / Rumpenheimer Straße,9,31,50.124141693115234,8.790240287780762,2026-01-07 22:08:11.686124
Horst-Schulmann Straße / Sonnemannstraße,15,25,50.109771728515625,8.700186729431152,2026-01-07 22:08:11.686124
Campus Eschborn / Düsseldorfer Straße,3,37,50.130821228027344,8.570685386657715,2026-01-07 22:08:11.686124
Gerbermühlstraße / Zum Schlegelhof,4,36,50.10457229614258,8.703683853149414,2026-01-07 22:08:11.686125
Bahnhof Offenbach Ost/Lämmerspieler Weg,4,36,50.10245895385742,8.784159660339355,2026-01-07 22:08:11.686125
U  Fischstein / Am Industriehof,1,39,50.12944030761719,8.623920440673828,2026-01-07 22:08:11.686126
Balduinstraße,1,39,50.09769058227539,8.715438842773438,2026-01-07 22:08:11.686126
Luxemburger Allee / Rhönstraße,3,37,50.11930465698242,8.712139129638672,2026-01-07 22:08:11.686127
Eschenheimer Tor / Taubenstraße,12,28,50.11688232421875,8.679264068603516,2026-01-07 22:08:11.686127
Kurhessenplatz / Scharfensteinerstraße,9,31,50.1298828125,8.797810554504395,2026-01-07 22:08:11.686128
Ostendplatz / Seligenstädter Straße,4,36,50.087284088134766,8.808518409729004,2026-01-07 22:08:11.686128
Goldsteinstraße / Hahnstraße,3,37,50.08466720581055,8.63293743133545,2026-01-07 22:08:11.686129
Kasseler Straße / Ederstraße,7,33,50.11992263793945,8.638671875,2026-01-07 22:08:11.686129
Hans-Thoma Straße / Städelstraße,7,33,50.10404968261719,8.678319931030273,2026-01-07 22:08:11.686130
Franz-Rücker-Allee / Hedwig-Dransfeld-Straße,14,26,50.128597259521484,8.64642333984375,2026-01-07 22:08:11.686130
Lindner Hotel Main Plaza,2,38,50.1063346862793,8.695819854736328,2026-01-07 22:08:11.686131
Eschersheimer Landstraße / Adickes-Allee (Polizeip,0,40,50.131404876708984,8.672572135925293,2026-01-07 22:08:11.686132
Am Schwalbenschwanz / Chamissostraße,2,38,50.14973449707031,8.659971237182617,2026-01-07 22:08:11.686133
Friedberger Landstraße / Vogelsbergstraße,0,40,50.12522888183594,8.691948890686035,2026-01-07 22:08:11.686133
Kleine Nelkenstraße / Praunheimer Landstraße,4,36,50.13410186767578,8.625885963439941,2026-01-07 22:08:11.686134
Mainkai / Historisches Museum,6,34,50.109214782714844,8.682565689086914,2026-01-07 22:08:11.686134
S Station Griesheim Südseite,1,39,50.09398651123047,8.607354164123535,2026-01-07 22:08:11.686136
Praunheimer Landstraße / Im Vogelsgesang,6,34,50.138729095458984,8.624698638916016,2026-01-07 22:08:11.686136
Blue-Towers,7,33,50.08042526245117,8.623993873596191,2026-01-07 22:08:11.686137
Campus Riedberg / Institut für Organische Chemie,0,40,50.17289733886719,8.631454467773438,2026-01-07 22:08:11.686137
Friedensbrücke / Theodor-Stern-Kai,3,37,50.099910736083984,8.66762638092041,2026-01-07 22:08:11.686138
